UserId,"Recommended Listing,Rating"
48301261,"[(112435, 4.750461711240944), (55737, 4.738112747567313), (12473240, 4.7364981050321191)]"
42524249,"[(14595567, 4.7901029507039832), (12991105, 4.7687764920001277), (13757434, 4.7646949153139024)]"
56311558,"[(15665400, 4.6237837338520249), (8953404, 4.5835923759408264), (13208065, 4.56549975047957)]"
1026322,"[(6680201, 4.3897467181368404), (67208, 4.3457594264219725), (4469455, 4.3232693587299424)]"
50939934,"[(4927853, 4.7473576015991883), (15483201, 4.7353637094797154), (10963433, 4.7266289808836142)]"
118865,"[(112435, 4.7375591182404433), (1923024, 4.6569904947872187), (14987334, 4.6432235458854487)]"
1443048,"[(657727, 4.3082619135586082), (12932878, 4.2625108864627963), (1557271, 4.256258577831276)]"
26239,"[(18074556, 4.6794543224111935), (3466246, 4.6678424098437823), (14917765, 4.6580853756036564)]"
6571144,"[(8368723, 4.5174694168868648), (14238443, 4.4797214982330322), (16276632, 4.4668163139229957)]"
23511753,"[(16324410, 4.4296421382375586), (1144861, 4.4288024610655414), (6576463, 4.4237111640824551)]"
23787881,"[(18962722, 4.7264100415294665), (7438743, 4.6970168553273002), (9022864, 4.6893622035611902)]"
137093724,"[(4550353, 4.6834267255588404), (14169689, 4.6620063728579844), (15134267, 4.6592639137236302)]"
15192585,"[(18682381, 4.4649447694060669), (13169806, 4.4523762046614319), (9612419, 4.4522189090844018)]"
51018504,"[(932277, 4.5250857489273901), (2359340, 4.5146998455291358), (14246246, 4.4967063587198792)]"
292399,"[(9240606, 4.2919186079912404), (3946018, 4.2569810477697878), (112435, 4.2565029210658203)]"
5569755,"[(11966623, 4.7210334547402981), (6037761, 4.6550654371022224), (4469455, 4.6378639143813176)]"
47271602,"[(17367289, 4.7231301243860937), (638822, 4.6964474826233893), (5491149, 4.6843141600229687)]"
2152922,"[(13980353, 4.7027613275262183), (6680201, 4.7015838422877669), (19744462, 4.6348437652936632)]"
89682496,"[(112435, 4.4277580701382773), (13533366, 4.3920940404371001), (64837, 4.3887089800384258)]"
24667379,"[(14982907, 4.5893179468149805), (13810048, 4.5886291341050987), (8309731, 4.5767692359811365)]"
79335950,"[(532749, 4.6425137824196057), (905425, 4.6278949201759119), (1664614, 4.6091992413916456)]"
107943152,"[(140133, 4.7591125376458834), (532749, 4.7246531751042369), (14101329, 4.7167981658154279)]"
73570090,"[(3626238, 4.6113672139090509), (19212378, 4.5730360315536842), (7979237, 4.5633519023920499)]"
1465059,"[(14038649, 4.6852252993061185), (3972453, 4.6542406978087749), (11206039, 4.6495720613912344)]"
479629,"[(19314589, 4.7781409430704134), (1628156, 4.7742812632776284), (13450862, 4.7682899518482955)]"
552216,"[(5655763, 4.7497329237653281), (17173473, 4.6451954675017122), (9908719, 4.6429051940378931)]"
32838920,"[(8900062, 4.7135762168456905), (5418807, 4.693781101113454), (1011326, 4.6886222997744449)]"
703081,"[(13997552, 4.7175732924039337), (14008708, 4.7161253198471504), (6976282, 4.6950976601395773)]"
13267956,"[(5051551, 4.7611539071873281), (12711153, 4.7374565885605548), (10658250, 4.7143178531532568)]"
16744841,"[(1069758, 4.7917453600825644), (14152762, 4.7750262742696439), (10963433, 4.7743866939792516)]"
22585386,"[(3968610, 4.9325428852758204), (4256091, 4.9011760733199923), (12807447, 4.8984319986295839)]"
7714813,"[(13173646, 4.4601468525829517), (112435, 4.4537750873130344), (17173473, 4.45175820229825)]"
32043769,"[(152520, 4.7961225165404526), (18074556, 4.7942455218801099), (7438743, 4.7690191989762232)]"
22114933,"[(1987371, 4.7700096258541489), (15191740, 4.7576359431068891), (874683, 4.7345985842701177)]"
166785,"[(1466081, 4.6780825853735664), (8952816, 4.6407047865645898), (18934106, 4.6202650319399474)]"
25486077,"[(7542500, 4.7674986096975767), (177709, 4.7503028076377944), (12829059, 4.7299299498607406)]"
8797144,"[(15782300, 4.538525958992496), (9725728, 4.5094143189880684), (4792529, 4.5068752543988024)]"
8507379,"[(20299, 4.7014954789000836), (2445715, 4.7001240780452846), (15345, 4.6942437707677449)]"
363969,"[(9445766, 4.6675103907204338), (14918238, 4.592262354294852), (828130, 4.580429668951373)]"
3772426,"[(13173646, 4.6263934297180809), (4469264, 4.6147327834020846), (6020237, 4.5975247565014232)]"
6899664,"[(10658250, 4.6937166457274806), (5036261, 4.6877853024316494), (235951, 4.6778659034050749)]"
58216470,"[(8309731, 4.8417822888986475), (12642845, 4.8190162962190399), (389482, 4.816921482958425)]"
36908459,"[(8368794, 4.4928265064158008), (17173473, 4.4863415693847601), (9443911, 4.4772627543186125)]"
40880660,"[(4033422, 4.6713327128543485), (1818820, 4.6556153871118617), (14246246, 4.6527676572159464)]"
7773073,"[(1084294, 4.8261254986341751), (11049502, 4.8136110396096496), (497264, 4.8071667979289838)]"
1355958,"[(11575073, 4.6859272372650693), (9425922, 4.6703481618454106), (15312128, 4.635969272398353)]"
1793306,"[(4211510, 4.7734646753235239), (15559308, 4.7658666508549281), (6078066, 4.7612231836888688)]"
4049280,"[(1930685, 4.8584582588180609), (15665469, 4.8187735255297603), (4156015, 4.8082497581377392)]"
2539165,"[(7619039, 4.8601387426224711), (10186192, 4.8573471648681839), (10963433, 4.8548199727042141)]"
17026477,"[(65019, 4.7899625640915993), (8473811, 4.786318609808645), (276317, 4.7790947786375231)]"
59097058,"[(4606675, 4.53563444128556), (13335773, 4.5218103386849027), (13723345, 4.5101523976835152)]"
26591,"[(20010178, 4.5733983618335055), (18254657, 4.5652957634781224), (4308633, 4.5619548393924445)]"
36670584,"[(6221877, 4.7499761342243829), (14917765, 4.7489504839059924), (14416791, 4.7487525795615033)]"
6151928,"[(2725385, 4.6065433157391737), (13393930, 4.5776234217753133), (7724865, 4.5754713037286114)]"
37412,"[(112435, 4.7868946523968514), (17791461, 4.6961344286025408), (10877492, 4.6600115676019307)]"
6026152,"[(1091840, 4.8185367812633135), (506121, 4.7148585200446487), (14982907, 4.6997395295336286)]"
484373,"[(15455457, 4.7667435400310776), (1042416, 4.7541934245054556), (16178389, 4.7460687486897735)]"
7140200,"[(67208, 4.5816482280612529), (2017517, 4.5502791973163594), (15988392, 4.535760652103197)]"
90570563,"[(11218771, 4.751083031003307), (5945, 4.7427846170627879), (5102006, 4.7403381237609103)]"
99877750,"[(11826442, 4.3878120223386103), (67208, 4.3819663194167555), (10658250, 4.3816062623464784)]"
120128899,"[(4550353, 4.8383766681333666), (2633717, 4.8083730243964959), (15860051, 4.7816057827382981)]"
47319131,"[(10185955, 4.6624927292312952), (1932094, 4.6616222175168787), (10754087, 4.6602698311321973)]"
56924957,"[(13731150, 4.6820604897682614), (12979462, 4.6819093497163493), (13533366, 4.6816635860582352)]"
232419,"[(9544914, 4.8137585053218785), (17881553, 4.7877712448292051), (19011068, 4.7713360078865028)]"
1999202,"[(7438743, 4.5929435628148703), (12965215, 4.591849231634737), (8392929, 4.5422572953216802)]"
1159172,"[(1256768, 4.6036203649845922), (13450862, 4.5855599914080249), (16146834, 4.5736712724393245)]"
384730,"[(15385, 4.7245640529366568), (7256741, 4.7130984091951218), (1664614, 4.7071181575712959)]"
32938356,"[(9652591, 4.747421194097095), (369411, 4.7005761782165347), (14551508, 4.697140440902813)]"
1495538,"[(14035390, 4.6658975917606664), (12028198, 4.6552275503889389), (18894295, 4.6406112766204313)]"
1129839,"[(6660046, 4.6213864896634771), (7619039, 4.617277678519808), (2936192, 4.609768624134464)]"
42995743,"[(112435, 4.7247367213857503), (3441930, 4.7022463593520598), (1432914, 4.697871268939803)]"
4010883,"[(3344643, 4.5660285093370829), (15814363, 4.5412659469768739), (10605445, 4.5247446565694389)]"
64657683,"[(4396939, 4.7275704138480101), (4718152, 4.7239090600253375), (5502282, 4.7152893593971568)]"
4882612,"[(14689147, 4.7817422384513826), (6221877, 4.7526890289373123), (9425922, 4.7428628973435298)]"
30996629,"[(17093860, 4.8322043526791782), (10963433, 4.7717627623227044), (14027626, 4.7601981676537326)]"
26793208,"[(14246246, 4.7204697874869268), (2959168, 4.7155360641736674), (6966472, 4.7154630405315796)]"
44108315,"[(4333927, 4.7985465984623028), (19011068, 4.6994989306290922), (3946018, 4.6957887985532381)]"
62660837,"[(5203, 4.6262298815500111), (10631508, 4.6145621917480479), (15344749, 4.5996935114225765)]"
40236186,"[(479255, 4.7776685430599528), (8698671, 4.7471054809875124), (16218147, 4.7083853275472194)]"
