Positive,Negative
0.0,16.3
30.2,0.0
18.7,0.0
39.5,0.0
0.0,0.0
25.0,0.0
31.7,0.0
28.299999999999997,0.0
52.7,0.0
0.0,0.0
16.5,11.0
37.7,2.6
35.5,2.9000000000000004
26.200000000000003,0.0
35.8,0.0
30.099999999999998,5.7
6.3,4.1000000000000005
49.2,0.0
0.0,14.499999999999998
29.4,0.0
61.5,0.0
28.9,2.9000000000000004
29.5,0.0
16.6,2.4
26.700000000000003,7.199999999999999
32.7,0.0
51.5,0.0
21.6,4.1000000000000005
33.6,0.0
0.0,7.3
0.0,0.0
63.0,0.0
25.4,0.0
26.6,0.0
24.8,4.8
15.5,5.8999999999999995
20.8,0.0
37.0,0.0
43.8,0.0
34.599999999999994,0.0
0.0,23.5
25.1,0.0
48.199999999999996,0.0
42.5,0.0
46.1,0.0
0.0,0.0
31.1,0.0
29.5,0.0
21.099999999999998,0.0
13.900000000000002,1.6
27.3,0.0
31.5,0.0
52.0,0.0
32.4,0.0
28.000000000000004,0.0
22.400000000000002,0.0
22.900000000000002,7.199999999999999
36.199999999999996,0.0
23.3,0.0
40.8,0.0
76.7,0.0
30.3,0.0
40.300000000000004,0.0
26.3,1.7999999999999998
24.4,0.0
24.6,0.0
55.2,0.0
24.4,0.0
0.0,0.0
11.1,0.0
33.7,0.0
45.4,0.0
19.6,0.0
41.9,0.0
31.2,2.0
56.89999999999999,0.0
40.6,0.0
41.5,8.7
27.6,0.0
25.7,5.6000000000000005
21.2,2.8000000000000003
11.200000000000001,0.0
35.199999999999996,0.0
22.5,0.0
35.0,5.2
22.3,18.3
19.5,0.0
29.799999999999997,0.0
30.4,8.6
20.5,2.1
34.599999999999994,0.0
19.0,0.0
28.000000000000004,9.3
33.7,0.0
27.900000000000002,0.0
0.0,5.3
29.799999999999997,2.6
33.2,0.0
6.800000000000001,2.8000000000000003
20.200000000000003,1.9
6.2,5.3
45.7,0.0
35.0,0.0
0.0,11.200000000000001
26.700000000000003,0.0
18.9,4.5
25.3,4.3999999999999995
31.5,0.0
44.800000000000004,0.0
34.9,5.800000000000001
25.1,4.0
14.899999999999999,2.0
10.9,3.6999999999999997
15.9,1.2
35.199999999999996,0.0
21.7,3.0
23.799999999999997,0.0
27.800000000000004,0.0
17.4,4.6
24.6,4.2
21.7,2.4
27.6,0.0
33.7,0.0
18.3,5.0
0.0,0.0
22.7,3.8
34.4,0.0
21.6,0.0
32.800000000000004,0.0
20.599999999999998,0.0
22.400000000000002,0.0
25.5,0.0
13.3,1.0999999999999999
26.0,5.8999999999999995
10.5,4.3999999999999995
18.5,0.0
6.0,13.700000000000001
21.9,1.7999999999999998
37.8,0.0
25.5,0.0
41.5,0.0
18.4,7.6
20.0,3.5999999999999996
37.1,0.0
74.4,0.0
42.8,0.0
30.9,3.8
7.7,8.5
0.0,0.0
0.0,0.0
26.5,0.0
59.0,0.0
29.299999999999997,0.0
29.5,0.0
34.4,0.0
